timestamp,test_id,num_macros,num_std_cells,total_cells,num_nets,seed,overlap_ratio,num_cells_with_overlaps,normalized_wl,elapsed_time,train_time,wl_loss_time,overlap_loss_time,density_loss_time,backward_time,optimizer_time,eval_time,skipped_eval,tag
20260321_233654,1,2,20,22,496,1001,0.0,0,0.5128082107303547,15.579604714000002,3.195349835000002,0.35220884400007435,0.249720217999851,0.411195795999987,1.464137577000109,0.2074609589999099,0.0005560720000019614,False,swap_v1
20260321_233654,2,3,25,28,642,1002,0.0,0,0.4391902792837773,2.687194780999995,2.686380596999996,0.2763232609999591,0.226888873000064,0.36762050100001176,1.0734400499999381,0.1894892269999886,0.0006198640000008027,False,swap_v1
20260321_233654,3,2,30,32,535,1003,0.0,0,0.557143734944511,2.8792432839999975,2.8780644670000015,0.26626521600000075,0.2187605690000325,0.36448759700006406,1.0814805049999165,0.18649227899992837,0.0010028610000034632,False,swap_v1
20260321_233654,4,3,50,53,1091,1004,0.0,0,0.5008698855247918,3.824350398,3.8226356810000013,0.42798815100020704,0.2591095629997042,0.437997519000092,1.373828579000083,0.21034242900000066,0.0015112699999946244,False,swap_v1
20260321_233654,5,4,75,79,1339,1005,0.0,0,0.5831616266123207,3.840932212999995,3.8350780200000045,0.4059581269999981,0.2895642250000918,0.43743312900001996,1.3788160189997498,0.21917183600007917,0.005537773999996887,False,swap_v1
20260321_233654,6,5,100,105,1821,1006,0.0,0,0.5103829598792441,4.746470900999995,4.741155653999996,0.4544597809998052,0.2885392330000869,0.4292842120000202,1.4034797860001333,0.21749318099990944,0.005101027000002034,False,swap_v1
20260321_233654,7,5,150,155,2247,1007,0.0,0,0.4505991210597096,7.080815047999998,7.071404195000007,0.5304903900000397,0.3188864210000446,0.4683509109999875,1.5056055129999706,0.23805172899989913,0.009135584999995672,False,swap_v1
20260321_233654,8,7,150,157,2351,1008,0.0,0,0.45860884955705605,7.819746262999999,7.805184142999991,0.4011605980005726,0.26321350499969753,0.38886854099983736,1.273271657999885,0.20274525400000698,0.014268719000000374,False,swap_v1
20260321_233654,9,8,200,208,2997,1009,0.0,0,0.4745847484028396,11.08065481300001,11.057929071000004,0.5603513819997517,0.3480507960000381,0.47947210000008056,1.5693355950003394,0.2370917379997053,0.022440828999990003,False,swap_v1
20260321_233654,10,10,2000,2010,20149,1010,0.0,0,0.4246511165787815,509.71497151299997,509.6829666,0.2910037970000303,0.32766757999989693,0.13479338600015467,0.6841490259998579,0.09382304900019278,0.03125108300002921,False,swap_v1
